cve_ent,poblacion,nombre
1,1434635,AGUASCALIENTES
2,3634868,BAJA CALIFORNIA
3,804708,BAJA CALIFORNIA SUR
4,1000617,CAMPECHE
7,5730367,CHIAPAS
8,3801487,CHIHUAHUA
9,9018645,DISTRITO FEDERAL
5,3218720,COAHUILA
6,785153,COLIMA
10,1868996,DURANGO
11,6228175,GUANAJUATO
12,3657048,GUERRERO
13,3086414,HIDALGO
14,8409693,JALISCO
15,17427790,MEXICO
16,4825401,MICHOACAN
17,2044058,MORELOS
18,1288571,NAYARIT
19,5610153,NUEVO LEON
20,4143593,OAXACA
21,6604451,PUEBLA
22,2279637,QUERETARO
23,1723259,QUINTANA ROO
24,2866142,SAN LUIS POTOSI
25,3156674,SINALOA
26,3074745,SONORA
27,2572287,TABASCO
28,3650602,TAMAULIPAS
29,1380011,TLAXCALA
30,8539862,VERACRUZ
31,2259098,YUCATAN
32,1666426,ZACATECAS
0,127792286,Nacional
